Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA
D1,11/08/06,Bayern Munich,Dortmund,2,0,H,1,0,H,12,16,9,7,14,20,1,2,0,0,1.57,3.6,6.0,1.55,4.05,4.75
D1,12/08/06,Hamburg,Bielefeld,1,1,D,0,1,A,26,10,19,5,29,22,3,2,0,0,1.44,4.0,7.5,1.35,4.4,7.5
D1,12/08/06,Leverkusen,Aachen,3,0,H,2,0,H,20,8,11,5,22,8,3,0,1,1,1.44,4.0,7.5,1.5,3.8,5.8
D1,12/08/06,Mainz,Bochum,2,1,H,1,0,H,11,19,5,9,17,15,2,3,0,0,2.0,3.2,3.75,1.85,3.3,3.9
D1,12/08/06,M'gladbach,Cottbus,2,0,H,0,0,D,13,11,8,7,11,24,0,4,0,1,1.61,3.6,5.5,1.6,3.5,5.3
D1,12/08/06,Schalke 04,Ein Frankfurt,1,1,D,1,0,H,24,8,13,5,17,19,1,2,0,0,1.44,4.0,7.5,1.45,4.0,6.2
D1,12/08/06,Stuttgart,Nurnberg,0,3,A,0,2,A,10,11,8,8,12,24,1,2,0,0,2.0,3.2,3.75,1.9,3.3,3.6
D1,13/08/06,Hannover,Werder Bremen,2,4,A,1,1,D,14,15,6,8,18,14,1,3,0,0,4.0,3.25,1.9,3.75,3.4,1.85
D1,13/08/06,Wolfsburg,Hertha,0,0,D,0,0,D,26,10,15,4,30,18,4,1,0,0,2.2,3.2,2.75,2.55,3.15,2.55
D1,18/08/06,Nurnberg,M'gladbach,1,0,H,1,0,H,11,11,7,6,19,20,2,3,0,0,1.9,3.25,4.0,1.75,3.4,4.3
D1,19/08/06,Aachen,Schalke 04,0,1,A,0,0,D,12,11,7,7,33,16,5,2,0,0,4.33,3.3,1.83,4.0,3.4,1.8
D1,19/08/06,Cottbus,Hamburg,2,2,D,0,1,A,17,15,10,12,17,17,1,2,0,1,3.75,3.2,2.0,3.9,3.3,1.85
D1,19/08/06,Dortmund,Mainz,1,1,D,0,0,D,17,6,10,4,18,30,2,1,0,0,1.61,3.6,5.5,1.5,3.9,5.6
D1,19/08/06,Ein Frankfurt,Wolfsburg,0,0,D,0,0,D,19,8,9,5,24,31,5,2,1,0,2.0,3.2,3.75,1.9,3.2,3.85
D1,19/08/06,Hertha,Hannover,4,0,H,2,0,H,11,5,9,1,11,18,1,2,0,1,1.83,3.3,4.33,1.8,3.2,4.3
D1,19/08/06,Werder Bremen,Leverkusen,2,1,H,1,1,D,19,21,10,9,20,18,3,2,0,0,1.66,3.6,5.0,1.6,3.6,5.0
